poem_id,language,assignee
MV++_0003,Assamese,teammate_3
MV++_0006,Assamese,teammate_3
MV++_0009,Bengali,teammate_3
MV++_0013,Bengali,teammate_3
MV++_0016,Bengali,teammate_3
MV++_0019,Bengali,teammate_3
MV++_0022,Bengali,teammate_3
MV++_0025,Bengali,teammate_3
MV++_0028,Bengali,teammate_3
MV++_0031,Bengali,teammate_3
MV++_0034,Bengali,teammate_3
MV++_0037,Bodo,teammate_3
MV++_0040,Bodo,teammate_3
MV++_0043,Bodo,teammate_3
MV++_0046,Dogri,teammate_3
MV++_0049,Dogri,teammate_3
MV++_0052,Dogri,teammate_3
MV++_0055,Gujarati,teammate_3
MV++_0058,Hindi,teammate_3
MV++_0061,Hindi,teammate_3
MV++_0064,Hindi,teammate_3
MV++_0067,Hindi,teammate_3
MV++_0070,Hindi,teammate_3
MV++_0074,Hindi,teammate_3
MV++_0077,Hindi,teammate_3
MV++_0080,Hindi,teammate_3
MV++_0083,Hindi,teammate_3
MV++_0086,Hindi,teammate_3
MV++_0089,Hindi,teammate_3
MV++_0092,Hindi,teammate_3
MV++_0095,Hindi,teammate_3
MV++_0098,Hindi,teammate_3
MV++_0101,Hindi,teammate_3
MV++_0104,Hindi,teammate_3
MV++_0107,Hindi,teammate_3
MV++_0110,Hindi,teammate_3
MV++_0113,Hindi,teammate_3
MV++_0116,Hindi,teammate_3
MV++_0119,Hindi,teammate_3
MV++_0122,Hindi,teammate_3
MV++_0125,Hindi,teammate_3
MV++_0128,Hindi,teammate_3
MV++_0131,Hindi,teammate_3
MV++_0134,Hindi,teammate_3
MV++_0137,Hindi,teammate_3
MV++_0140,Hindi,teammate_3
MV++_0143,Hindi,teammate_3
MV++_0146,Hindi,teammate_3
MV++_0149,Hindi,teammate_3
MV++_0152,Hindi,teammate_3
MV++_0155,Hindi,teammate_3
MV++_0158,Hindi,teammate_3
MV++_0161,Hindi,teammate_3
MV++_0164,Hindi,teammate_3
MV++_0167,Hindi,teammate_3
MV++_0170,Hindi,teammate_3
MV++_0173,Hindi,teammate_3
MV++_0176,Hindi,teammate_3
MV++_0179,Hindi,teammate_3
MV++_0182,Hindi,teammate_3
MV++_0185,Hindi,teammate_3
MV++_0188,Hindi,teammate_3
MV++_0191,Hindi,teammate_3
MV++_0194,Hindi,teammate_3
MV++_0197,Hindi,teammate_3
MV++_0200,Hindi,teammate_3
MV++_0203,Hindi,teammate_3
MV++_0206,Hindi,teammate_3
MV++_0209,Hindi,teammate_3
MV++_0212,Hindi,teammate_3
MV++_0215,Hindi,teammate_3
MV++_0218,Hindi,teammate_3
MV++_0221,Hindi,teammate_3
MV++_0224,Hindi,teammate_3
MV++_0227,Hindi,teammate_3
MV++_0230,Hindi,teammate_3
MV++_0233,Hindi,teammate_3
MV++_0236,Hindi,teammate_3
MV++_0239,Hindi,teammate_3
MV++_0242,Hindi,teammate_3
MV++_0245,Hindi,teammate_3
MV++_0248,Hindi,teammate_3
MV++_0251,Hindi,teammate_3
MV++_0254,Hindi,teammate_3
MV++_0257,Hindi,teammate_3
MV++_0260,Hindi,teammate_3
MV++_0263,Hindi,teammate_3
MV++_0266,Hindi,teammate_3
MV++_0269,Hindi,teammate_3
MV++_0272,Hindi,teammate_3
MV++_0275,Hindi,teammate_3
MV++_0278,Hindi,teammate_3
MV++_0281,Hindi,teammate_3
MV++_0284,Hindi,teammate_3
MV++_0287,Hindi,teammate_3
MV++_0290,Hindi,teammate_3
MV++_0293,Hindi,teammate_3
MV++_0296,Hindi,teammate_3
MV++_0299,Hindi,teammate_3
MV++_0302,Hindi,teammate_3
MV++_0305,Hindi,teammate_3
MV++_0308,Hindi,teammate_3
MV++_0311,Hindi,teammate_3
MV++_0314,Hindi,teammate_3
MV++_0317,Hindi,teammate_3
MV++_0320,Hindi,teammate_3
MV++_0323,Hindi,teammate_3
MV++_0326,Hindi,teammate_3
MV++_0329,Hindi,teammate_3
MV++_0332,Hindi,teammate_3
MV++_0335,Hindi,teammate_3
MV++_0338,Hindi,teammate_3
MV++_0341,Hindi,teammate_3
MV++_0344,Hindi,teammate_3
MV++_0347,Hindi,teammate_3
MV++_0350,Hindi,teammate_3
MV++_0353,Hindi,teammate_3
MV++_0356,Hindi,teammate_3
MV++_0359,Hindi,teammate_3
MV++_0362,Hindi,teammate_3
MV++_0365,Hindi,teammate_3
MV++_0368,Hindi,teammate_3
MV++_0371,Hindi,teammate_3
MV++_0374,Hindi,teammate_3
MV++_0377,Hindi,teammate_3
MV++_0380,Hindi,teammate_3
MV++_0383,Hindi,teammate_3
MV++_0386,Hindi,teammate_3
MV++_0389,Hindi,teammate_3
MV++_0392,Hindi,teammate_3
MV++_0395,Hindi,teammate_3
MV++_0398,Hindi,teammate_3
MV++_0401,Hindi,teammate_3
MV++_0404,Hindi,teammate_3
MV++_0407,Hindi,teammate_3
MV++_0410,Hindi,teammate_3
MV++_0413,Hindi,teammate_3
MV++_0416,Hindi,teammate_3
MV++_0419,Hindi,teammate_3
MV++_0422,Hindi,teammate_3
MV++_0425,Hindi,teammate_3
MV++_0428,Hindi,teammate_3
MV++_0431,Hindi,teammate_3
MV++_0434,Hindi,teammate_3
MV++_0437,Hindi,teammate_3
MV++_0440,Hindi,teammate_3
MV++_0443,Hindi,teammate_3
MV++_0446,Hindi,teammate_3
MV++_0449,Hindi,teammate_3
MV++_0452,Hindi,teammate_3
MV++_0455,Hindi,teammate_3
MV++_0458,Hindi,teammate_3
MV++_0461,Hindi,teammate_3
MV++_0464,Hindi,teammate_3
MV++_0467,Hindi,teammate_3
MV++_0470,Hindi,teammate_3
MV++_0473,Hindi,teammate_3
MV++_0476,Hindi,teammate_3
MV++_0479,Hindi,teammate_3
MV++_0482,Hindi,teammate_3
MV++_0485,Hindi,teammate_3
MV++_0488,Hindi,teammate_3
MV++_0491,Hindi,teammate_3
MV++_0494,Hindi,teammate_3
MV++_0497,Hindi,teammate_3
MV++_0500,Hindi,teammate_3
MV++_0503,Hindi,teammate_3
MV++_0506,Hindi,teammate_3
MV++_0509,Hindi,teammate_3
MV++_0512,Hindi,teammate_3
MV++_0515,Hindi,teammate_3
MV++_0518,Hindi,teammate_3
MV++_0521,Hindi,teammate_3
MV++_0524,Hindi,teammate_3
MV++_0527,Hindi,teammate_3
MV++_0530,Hindi,teammate_3
MV++_0533,Hindi,teammate_3
MV++_0536,Hindi,teammate_3
MV++_0539,Hindi,teammate_3
MV++_0542,Hindi,teammate_3
MV++_0545,Hindi,teammate_3
MV++_0548,Hindi,teammate_3
MV++_0551,Hindi,teammate_3
