poem_id,language,assignee
MV++_0008,Bengali,teammate_1
MV++_0012,Bengali,teammate_1
MV++_0015,Bengali,teammate_1
MV++_0018,Bengali,teammate_1
MV++_0021,Bengali,teammate_1
MV++_0024,Bengali,teammate_1
MV++_0027,Bengali,teammate_1
MV++_0030,Bengali,teammate_1
MV++_0033,Bengali,teammate_1
MV++_0056,Hindi,teammate_1
MV++_0059,Hindi,teammate_1
MV++_0062,Hindi,teammate_1
MV++_0065,Hindi,teammate_1
MV++_0068,Hindi,teammate_1
MV++_0071,Hindi,teammate_1
MV++_0075,Hindi,teammate_1
MV++_0078,Hindi,teammate_1
MV++_0081,Hindi,teammate_1
MV++_0084,Hindi,teammate_1
MV++_0087,Hindi,teammate_1
MV++_0090,Hindi,teammate_1
MV++_0093,Hindi,teammate_1
MV++_0096,Hindi,teammate_1
MV++_0099,Hindi,teammate_1
MV++_0102,Hindi,teammate_1
MV++_0105,Hindi,teammate_1
MV++_0108,Hindi,teammate_1
MV++_0111,Hindi,teammate_1
MV++_0114,Hindi,teammate_1
MV++_0117,Hindi,teammate_1
MV++_0120,Hindi,teammate_1
MV++_0123,Hindi,teammate_1
MV++_0126,Hindi,teammate_1
MV++_0129,Hindi,teammate_1
MV++_0132,Hindi,teammate_1
MV++_0135,Hindi,teammate_1
MV++_0138,Hindi,teammate_1
MV++_0141,Hindi,teammate_1
MV++_0144,Hindi,teammate_1
MV++_0147,Hindi,teammate_1
MV++_0150,Hindi,teammate_1
MV++_0153,Hindi,teammate_1
MV++_0156,Hindi,teammate_1
MV++_0159,Hindi,teammate_1
MV++_0162,Hindi,teammate_1
MV++_0165,Hindi,teammate_1
MV++_0168,Hindi,teammate_1
MV++_0171,Hindi,teammate_1
MV++_0174,Hindi,teammate_1
MV++_0177,Hindi,teammate_1
MV++_0180,Hindi,teammate_1
MV++_0183,Hindi,teammate_1
MV++_0186,Hindi,teammate_1
MV++_0189,Hindi,teammate_1
MV++_0192,Hindi,teammate_1
MV++_0195,Hindi,teammate_1
MV++_0198,Hindi,teammate_1
MV++_0201,Hindi,teammate_1
MV++_0204,Hindi,teammate_1
MV++_0207,Hindi,teammate_1
MV++_0210,Hindi,teammate_1
MV++_0213,Hindi,teammate_1
MV++_0216,Hindi,teammate_1
MV++_0219,Hindi,teammate_1
MV++_0222,Hindi,teammate_1
MV++_0225,Hindi,teammate_1
MV++_0228,Hindi,teammate_1
MV++_0231,Hindi,teammate_1
MV++_0234,Hindi,teammate_1
MV++_0237,Hindi,teammate_1
MV++_0240,Hindi,teammate_1
MV++_0243,Hindi,teammate_1
MV++_0246,Hindi,teammate_1
MV++_0249,Hindi,teammate_1
MV++_0252,Hindi,teammate_1
MV++_0255,Hindi,teammate_1
MV++_0258,Hindi,teammate_1
MV++_0261,Hindi,teammate_1
MV++_0264,Hindi,teammate_1
MV++_0267,Hindi,teammate_1
MV++_0270,Hindi,teammate_1
MV++_0273,Hindi,teammate_1
MV++_0276,Hindi,teammate_1
MV++_0279,Hindi,teammate_1
MV++_0282,Hindi,teammate_1
MV++_0285,Hindi,teammate_1
MV++_0288,Hindi,teammate_1
MV++_0291,Hindi,teammate_1
MV++_0294,Hindi,teammate_1
MV++_0297,Hindi,teammate_1
MV++_0300,Hindi,teammate_1
MV++_0303,Hindi,teammate_1
MV++_0306,Hindi,teammate_1
MV++_0309,Hindi,teammate_1
MV++_0312,Hindi,teammate_1
MV++_0315,Hindi,teammate_1
MV++_0318,Hindi,teammate_1
MV++_0321,Hindi,teammate_1
MV++_0324,Hindi,teammate_1
MV++_0327,Hindi,teammate_1
MV++_0330,Hindi,teammate_1
MV++_0333,Hindi,teammate_1
MV++_0336,Hindi,teammate_1
MV++_0339,Hindi,teammate_1
MV++_0342,Hindi,teammate_1
MV++_0345,Hindi,teammate_1
MV++_0348,Hindi,teammate_1
MV++_0351,Hindi,teammate_1
MV++_0354,Hindi,teammate_1
MV++_0357,Hindi,teammate_1
MV++_0360,Hindi,teammate_1
MV++_0363,Hindi,teammate_1
MV++_0366,Hindi,teammate_1
MV++_0369,Hindi,teammate_1
MV++_0372,Hindi,teammate_1
MV++_0375,Hindi,teammate_1
MV++_0378,Hindi,teammate_1
MV++_0381,Hindi,teammate_1
MV++_0384,Hindi,teammate_1
MV++_0387,Hindi,teammate_1
MV++_0390,Hindi,teammate_1
MV++_0393,Hindi,teammate_1
MV++_0396,Hindi,teammate_1
MV++_0399,Hindi,teammate_1
MV++_0402,Hindi,teammate_1
MV++_0405,Hindi,teammate_1
MV++_0408,Hindi,teammate_1
MV++_0411,Hindi,teammate_1
MV++_0414,Hindi,teammate_1
MV++_0417,Hindi,teammate_1
MV++_0420,Hindi,teammate_1
MV++_0423,Hindi,teammate_1
MV++_0426,Hindi,teammate_1
MV++_0429,Hindi,teammate_1
MV++_0432,Hindi,teammate_1
MV++_0435,Hindi,teammate_1
MV++_0438,Hindi,teammate_1
MV++_0441,Hindi,teammate_1
MV++_0444,Hindi,teammate_1
MV++_0447,Hindi,teammate_1
MV++_0450,Hindi,teammate_1
MV++_0453,Hindi,teammate_1
MV++_0456,Hindi,teammate_1
MV++_0459,Hindi,teammate_1
MV++_0462,Hindi,teammate_1
MV++_0465,Hindi,teammate_1
MV++_0468,Hindi,teammate_1
MV++_0471,Hindi,teammate_1
MV++_0474,Hindi,teammate_1
MV++_0477,Hindi,teammate_1
MV++_0480,Hindi,teammate_1
MV++_0483,Hindi,teammate_1
MV++_0486,Hindi,teammate_1
MV++_0489,Hindi,teammate_1
MV++_0492,Hindi,teammate_1
MV++_0495,Hindi,teammate_1
MV++_0498,Hindi,teammate_1
MV++_0501,Hindi,teammate_1
MV++_0504,Hindi,teammate_1
MV++_0507,Hindi,teammate_1
MV++_0510,Hindi,teammate_1
MV++_0513,Hindi,teammate_1
MV++_0516,Hindi,teammate_1
MV++_0519,Hindi,teammate_1
MV++_0522,Hindi,teammate_1
MV++_0525,Hindi,teammate_1
MV++_0528,Hindi,teammate_1
MV++_0531,Hindi,teammate_1
MV++_0534,Hindi,teammate_1
MV++_0537,Hindi,teammate_1
MV++_0540,Hindi,teammate_1
MV++_0543,Hindi,teammate_1
MV++_0546,Hindi,teammate_1
MV++_0549,Hindi,teammate_1
MV++_0552,Hindi,teammate_1
MV++_0555,Hindi,teammate_1
MV++_0558,Hindi,teammate_1
MV++_0561,Hindi,teammate_1
MV++_0564,Hindi,teammate_1
MV++_0567,Hindi,teammate_1
MV++_0570,Hindi,teammate_1
MV++_0573,Hindi,teammate_1
MV++_0576,Hindi,teammate_1
MV++_0579,Hindi,teammate_1
MV++_0582,Hindi,teammate_1
MV++_0585,Hindi,teammate_1
MV++_0588,Hindi,teammate_1
MV++_0591,Hindi,teammate_1
MV++_0594,Hindi,teammate_1
MV++_0597,Hindi,teammate_1
MV++_0600,Hindi,teammate_1
MV++_0603,Hindi,teammate_1
MV++_0606,Hindi,teammate_1
MV++_0609,Hindi,teammate_1
MV++_0612,Hindi,teammate_1
MV++_0615,Hindi,teammate_1
MV++_0618,Hindi,teammate_1
MV++_0621,Hindi,teammate_1
MV++_0624,Hindi,teammate_1
MV++_0627,Hindi,teammate_1
MV++_0630,Hindi,teammate_1
MV++_0633,Hindi,teammate_1
MV++_0636,Hindi,teammate_1
MV++_0639,Hindi,teammate_1
MV++_0642,Hindi,teammate_1
MV++_0645,Hindi,teammate_1
MV++_0648,Hindi,teammate_1
MV++_0651,Hindi,teammate_1
MV++_0654,Hindi,teammate_1
MV++_0657,Hindi,teammate_1
MV++_0660,Hindi,teammate_1
MV++_0663,Hindi,teammate_1
MV++_0666,Hindi,teammate_1
MV++_0669,Hindi,teammate_1
MV++_0672,Hindi,teammate_1
MV++_0675,Hindi,teammate_1
MV++_0678,Hindi,teammate_1
MV++_0681,Hindi,teammate_1
MV++_0684,Hindi,teammate_1
MV++_0687,Hindi,teammate_1
MV++_0690,Hindi,teammate_1
MV++_0693,Hindi,teammate_1
MV++_0696,Hindi,teammate_1
MV++_0699,Hindi,teammate_1
MV++_0702,Hindi,teammate_1
MV++_0705,Hindi,teammate_1
MV++_0708,Hindi,teammate_1
MV++_0711,Hindi,teammate_1
MV++_0714,Hindi,teammate_1
MV++_0717,Hindi,teammate_1
MV++_0720,Hindi,teammate_1
MV++_0723,Hindi,teammate_1
MV++_0726,Hindi,teammate_1
MV++_0729,Hindi,teammate_1
MV++_0732,Hindi,teammate_1
MV++_0735,Hindi,teammate_1
MV++_0738,Hindi,teammate_1
MV++_0741,Hindi,teammate_1
MV++_0744,Hindi,teammate_1
MV++_0747,Hindi,teammate_1
MV++_0750,Hindi,teammate_1
MV++_0753,Hindi,teammate_1
MV++_0756,Hindi,teammate_1
MV++_0759,Hindi,teammate_1
