poem_id,language,pilot_status,profile_status,release_status,source_path
MV++_0001,Assamese,AVAILABLE_FOR_ASSIGNMENT,PROFILE_PRESENT,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Assamese/MV++_0001.json
MV++_0002,Assamese,AVAILABLE_FOR_ASSIGNMENT,PROFILE_PRESENT,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Assamese/MV++_0002.json
MV++_0003,Assamese,AVAILABLE_FOR_ASSIGNMENT,PROFILE_PRESENT,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Assamese/MV++_0003.json
MV++_0004,Assamese,AVAILABLE_FOR_ASSIGNMENT,PROFILE_PRESENT,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Assamese/MV++_0004.json
MV++_0005,Assamese,AVAILABLE_FOR_ASSIGNMENT,PROFILE_PRESENT,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Assamese/MV++_0005.json
MV++_0006,Assamese,AVAILABLE_FOR_ASSIGNMENT,PROFILE_PRESENT,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Assamese/MV++_0006.json
MV++_0007,Assamese,AVAILABLE_FOR_ASSIGNMENT,PROFILE_PRESENT,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Assamese/MV++_0007.json
MV++_0008,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0008.json
MV++_0009,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0009.json
MV++_0010,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0010.json
MV++_0011,Bengali,PILOT_ALREADY_GENERATED,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0011.json
MV++_0012,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0012.json
MV++_0013,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0013.json
MV++_0014,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0014.json
MV++_0015,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0015.json
MV++_0016,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0016.json
MV++_0017,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0017.json
MV++_0018,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0018.json
MV++_0019,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0019.json
MV++_0020,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0020.json
MV++_0021,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0021.json
MV++_0022,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0022.json
MV++_0023,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0023.json
MV++_0024,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0024.json
MV++_0025,Bengali,AVAILABLE_FOR_ASSIGNMENT,SUPPORTED_PILOT_VALIDATED,AUTHORIZED_FOR_TEAM_GENERATION,data/source_corpus/Bengali/MV++_0025.json
